date,holiday
2018-01-01,New Year
2018-02-12,Carnival
2018-02-13,Carnival
2018-03-24,Truth and Justice Memorial Day
2018-03-30,Good Friday
2018-04-02,Malvinas Day
2018-04-30,Public Holiday (bridge day)
2018-05-01,Labour Day
2018-05-25,May Day Revolution
2018-06-17,Martin Miguel de Guemes Day
2018-06-20,National Flag Day
2018-07-09,Independence Day
2018-08-20,San Martin's Day
2018-10-15,Day of respect for cultural diversity
2018-11-19,Day of National Sovereignty
2018-12-08,Inmaculate Conception Day
2018-12-24,Public Holiday
2018-12-25,Christmas Day
2018-12-31,Public Holiday
